,Year,DataNeeded,BloodinHand (ref. priority extraction sheet for location of sample) ,,Metal,ColorCombo,Sex,DateLastCaptured,Status,Location,Age,ColorCrest,ColorProximalLowerMmandible,BloodTaken,FeathersTaken,Mass,Tarsus,Wing,RFID,,,,,,,
,2019,,Yes,,244102084,SPO,,6/14/2019,,NB13,Nestling,,,Yes,,16.3*,not taken,,01103F54B0,,,,,,,
,2019,,Yes,,244102081,SPR,,6/14/2019,,NB13,Nestling,,,Yes,,17.5*,not taken,,01103FBEC7,,,,,,,
,2019,,Yes,,244102080,SPT,,6/14/2019,,NB13,Nestling,,,Yes,,17.7*,not taken,,01103F8A70,,,,,,,
,2019,,Yes,,244102079,SPW,,6/14/2019,,NB13,Nestling,,,Yes,,17.7*,not taken,,01103FB1B2,,,,,,,
,2019,,yes,,244102082 SPR,SPY,,6/14/2019,,NB13,Nestling,,,Yes,,18.2*,not taken,,01103F8D90,,,,,,,
,2019,,Yes,,244102085,SOB,,6/21/2019,,NB54,Nestling,,,Yes,,18.9,not taken,,01103FD26A,,,,,,,
,2019,,Yes,,244102088,STW,,6/21/2019,,NB54,Nestling,,,Yes,,17.9,not taken,,01103F5F6B,,,,,,,
,2019,,Yes,,244102087,STY,,6/21/2019,,NB54,Nestling,,,Yes,,17.1,not taken,,01103F3C44,,,,,,,
,2019,,Yes,,244102086,SWR,,6/21/2019,,NB54,Nestling,,,Yes,,17.1,not taken,,01103FA7E4,,,,,,,
,2019,,*No,,258115491,YOY,,6/25/2019,,NB54,Adult (second year)*,,,No*,,-,-,,011016CDA2,,,,,,,
,2019,,Yes,,244102099,YLL,,7/8/2019,,Feeder 1,Juv,,,Yes ,,20,20.8,,*0110174478*,,,,,,,
,2019,,Yes,,244102100,YSR,,7/8/2019,,Feeder 1,Juv,,,Yes ,,19.1,20.5,,01103F7971,,,,,,,
,2019,,Yes,,244102089,YSW ,,7/8/2019,,Feeder 1,Adult,,,Yes ,,18.6,21,,0110170F18,,,,,,,
,2019,,Yes,,244102090,YWY,,7/8/2019,,Feeder 1,Juv,,,Yes ,,18.1,20,,01103F8786,,,,,,,
,2019,,Yes,,244102092,SLR,,7/9/2019,,Feeder 2,Adult,,,Yes ,,19.6,not taken,,01103F3D11,,,,,,,
,2019,,Yes,,244102091,SLY,,7/9/2019,,Feeder 2,Juv,,,Yes ,,17.8,not taken,,01103F3F72,,,,,,,
,2019,,Yes,,244102093,SWO,,7/9/2019,,Feeder 2,Juv,,,Yes ,,17.6,not taken,,01103F6CF8,,,,,,,
,2019,,Yes,,244102098,YOB,,7/9/2019,,Feeder 3,Adult,,,Yes ,,18.1,not taken,,01101708B2,,,,,,,
,2019,,Yes,,244102094,STT,,7/10/2019,,Feeder 10**,Juv,,,Yes ,,17.1,not taken,,01103F9EE3,,,,,,,
,2019,,Yes,,244102095,SRO,,7/11/2019,,Feeder 12,Juv,,,Yes ,,18,not taken,,01103F6317,,,,,,,
,2019,,*No,,244102096,SYS,,7/11/2019,,Feeder 10,Juv,,,No,,18.6,not taken,,01103F55B6,,,,,,,
,2019,,Yes,,244102097,SLB,,7/19/2019,,Feeder 1,Juv,,,Yes ,,17.8,20.8,,01103F8E31,,,,,,,
,2019,,Yes,,244160901,SOW,,7/22/2019,,Feeder 12,Juv,,,Yes ,,17.3,not taken,,01103F3CC5,,,,,,,
,2019,,Yes,,244160902,SGY,,7/23/2019,,Feeder 3,Juv,,,Yes ,,18.2,20.4,,01103FBA6D,,,,,,,
,2019,,Yes,,244160905,SOL,,9/14/2019,,Feeder 9,Adult,,,Yes,,18.6,-,,01103FBE00,,,,,,,
,2019,,Yes,,244160903,YGB,,9/14/2019,,Feeder 4,Adult,,,Yes,,20.5,-,,01101750DB,,,,,,,
,2019,,Yes,,244160904,YSO,,9/14/2019,,Feeder 10,Juv/AHY (listed as juv/ASY),,,Yes,,16.6,-,,01101740DB,,,,,,,
,2019,,Yes,,244160906,YYS,,9/14/2019,,Feeder 4,Adult,,,Yes,,18.3,-,,01103F5B82,,,,,,,
,2019,,Yes,,244160907,YLY,,9/22/2019,,Feeder 4,Adult,,,Yes,,19.1,-,,01103F5DAE,,,,,,,
,2019,,Yes,,244160909,SLW,,10/5/2019,,Feeder 10,Juv/AHY (listed as juv/ASY),,,Yes,,19.6,-,,01103F7E48,,,,,,,
,2019,,No,,244160908,YTY,,10/5/2019,,Feeder 5,Juv/AHY (listed as juv/ASY),,,No,,17.4,-,,01103F7CC4,,,,,,,
,2019,,Yes,,244160910,SBB,,10/26/2019,,Feeder 12,? (Juv or Adult),,,Yes,,16.9,-,,01103F7155,,,,,,,
,2019,,Yes,,244160911,SBR,,10/26/2019,,Feeder 12,Adult,,,Yes,,17.2,-,,01103F5B0C,,,,,,,
,2019,,Yes,,244160912,SRT,,11/16/2019,,Feeder 9,Adult,,,Yes,,19.4,-,,01103FD266,,,,,,,
,2019,,*yes,,244160913,YRW,,11/16/2019,,Feeder 8,Adult,,,Yes,,17.5,-,,01103F7C3B,,,,,,,
,2019,,Yes,,244160915,YTS,,11/16/2019,,Feeder 8,Juv/AHY (listed as juv/ASY),,,Yes,,17.5,-,,01103F8A47,,,,,,,
,2019,,No,,244160914,YWB,,11/16/2019,,Feeder 8,Adult,,,No,,18.9,-,,01103F74AE,,,,,,,
,2019,,No,,244160916,S,,11/23/2019,,Feeder 9,Juv,,,No,,19.6,-,,01103F7604,,,,,,,
,2019,,***/yes,,244160917,YPG,,11/23/2019,,Feeder 9,Juv,,,Yes,,17.2,-,,01103F5023,,,,,,,
,2020,,No,,244160919,SWS,,1/25/2020,,Feeder 4,Adult,,,No,,16.4,-,,01103FD65F,,,,,,,
,2020,,Yes,,244160918,SWY,,1/25/2020,,Feeder 8,Adult,,,Yes,,30.83 (weighed with tube),-,,01103F40C4,,,,,,,
,2020,,Yes,,244160920,STW,,2/8/2020,,Feeder 4,Adult,,,Yes,,16.8,19.1,,01103F8E3A,,,,,,,
,2020,,Yes,,244160921,YWW,,2/8/2020,,Feeder 4,Adult,,,Yes,,19,19.8,,011016FAEA,,,,,,,
,2020,,Yes,,244160922,YWR,,2/8/2020,,Feeder 12,Adult,,,Yes,,20.6,-,,011016FACA,,,,,,,
,2020,,Yes,,244160923,SRY,,2/8/2020,,Feeder 12,Adult,,,Yes,,17.9,-,,01103F4BE0,,,,,,,
,2020,,Yes,,244160924,SOY,,2/8/2020,,Feeder 12,Adult,,,Yes,,-,20.9,,01103FC46F,,,,,,,
,2020,,Yes,,244160925,SRY,,2/15/2020,,Feeder 12,Adult,,,Yes,,17.6,23.4,,01103F7E45,,,,,,,
,2020,,Yes,,244160926,SLG,,2/22/2020,,Feeder 14,Adult,,,Yes,,20,-,,01103F5BD3,,,,,,,
,2020,,No,,244160927,SBO,,2/22/2020,,Feeder 14,Adult,,,No,,18.1,29.7*,,01103F8C40,,,,,,,
,2020,,No,,244160928,SRG,,2/22/2020,,Feeder 14,Adult,,,No,,18,21.8,,01103FAAA7,,,,,,,
,2020,,No,,-,SRY,,2/22/2020,,Feeder12,-,,,No,,-,,,-,,,,,,,
,2020,,No,,244160438,YBL,,9/19/2020,,Feeder 3,Adult,,,Yes,,20.1,-,,01103F58A8,,,,,,,
,2020,,No,,244160929,YGY,,9/19/2020,,Feeder 8,Adult,,,Yes,,19.7,-,,01103F826D,,,,,,,
,2020,,No,,244150930,YOS,,9/19/2020,,Feeder 8,Juv/AHY (listed as juv/ASY),,,No,,16.9,-,,01103F40DF,,,,,,,
,2020,,Yes,,244160940,YRS,,9/19/2020,,Feeder 3,Adult,,,Yes,,16.5,-,,01103F7ACD,,,,,,,
,2020,,Yes,,244160932,YTR,,9/19/2020,,Feeder 3,Juv,,,No*,,18.9,-,,01103F7CAA,,,,,,,
,2020,,Yes,,244160933,YTT,,9/19/2020,,Feeder 1,Juv,,,Yes,,19.7,-,,01103F6158,,,,,,,
,2020,,Yes* (number and date worn off but likely this sample),,244160931,YYL,,9/19/2020,,Feeder 8,Adult,,,Yes,,18.4,-,,01103F3BBA,,,,,,,
,2020,,Yes,,244160936,SOG,,9/26/2020,,Feeder 3,A/ASY,,,Y,,19.5,20,,01103FA5DF,,,,,,,
,2020,,Yes,,244160935,SBL,,9/26/2020,,Feeder 3,-,,,Y,,19,-,,01103F5D4C,,,,,,,
,2020,,Yes,,244160937,YTT,,9/26/2020,,Feeder 8,Juv,,,N*,,18,20.2,,01103F6F8B,,,,,,,
,2020,,Yes,,244160934,SYL,,9/26/2020,,Feeder 3,Juv,,,Y,,16.4,19.2,,01103F7E43,,,,,,,
,2020,,Yes,,244160939,SLO,,9/26/2020,,Feeder 1,Juv,,,Y,,17.7,19.3,,01103FA3E0,,,,,,,
,2020,,Yes,,244160941,YLT,,10/3/2020,,-,-,,,Y,,18.6,21.5,,01103F4024,,,,,,,
,2020,,No,,244160942,YBL,,10/24/2020,,Feeder 9,Adult,,,No,,20,21.3,,1.10E+50,,,,,,,
,2020,,Yes,,244160943,YWT,,11/7/2020,,Feeder 17,Adult,,,Yes,,16.8,22.3,,01103F4899,,,,,,,
,2021,,Yes,,244160944,SSS,,1/30/2021,N,Feeder 14,Adult,,,No,,19.9,18.6,,01103F9BE4,,,,,,,
,2021,,Yes,,244160945,SYT,,1/30/2021,N,Feeder 14,Adult,,,Y,,20.1,22.5,,01103F741F,,,,,,,
,2021,,Yes,,244160946,YRB,,2/6/2021,N,Feeder 9,SY (listed as juv),,,Y,,17.2,19.3,,0110174E7C,,,,,,,
,2021,,Yes,,244160947,YWL,,2/6/2021,N,Feeder 9,Adult/ASY,,,Y,,19.9,20.6,,011016FEE5,,,,,,,
,2021,,Yes,,244160948,SYW,,2/6/2021,N,Feeder 14,SY (listed as juv),,,Y,,18.3,22,,01103FA1F9,,,,,,,
,2021,,Yes,,244160949,STS,,2/6/2021,N,Feeder 15,Adult,,,Y,,18.6,20.9,,01103F8C99,,,,,,,
,2021,,Yes,,244160951,YTY,,3/6/2021,N,Feeder 4,adult,,,Yes,,19.1,22.7,,110171607,,,,,,,
,2021,,Yes,,244160952,SSR,,3/6/2021,N,Feeder 4,adult,,,Yes,,19.7,20.3,,01103F836E,,,,,,,
,2021,,Yes,,244160953,SLB,,3/6/2021,N,Feeder %,adult,,,Yes,,18.4,20.1,,01103F57CE,,,,,,,
,2021,,Yes,,244160954,YTL,,4/10/2021,N,NB19,Adult/ASY,,,Yes,,16.9,19.9,,01103F56A4,,,,,,,
,2021,,,,244160922,YWR,,4/10/2021,P,mistnet near NB22&23,ASY,,,,,,,,,,,,,,,
,2021,,Yes,,244160955,SSG,,4/17/2021,N,NB17,ASY,,,Yes,,16.4,18.9,,01103F53F1,,,,,,,
,2021,,Yes,,244160956,SLO,,4/17/2021,N,NB65,ASY,,,Yes,,19,21,,01103F8A54,,,,,,,
,2021,,Yes,,244160957,SLS,,4/17/2021,N,NB51,ASY,,,Yes,,16,19.8,,01103F50EB,,,,,,,
,2021,,Yes,,244160958,SOG,,4/17/2021,N,NB66,ASY,,,Yes,,17.4,19.3,,01103F5AAF,,,,,,,
,2021,,,,244160915,YTS,,4/17/2021,P,NB53,ASY,,,,,,,,,,,,,,,
,2021,,,,244160925,SRY,,4/17/2021,P,NB63,ASY,,,,,,,,,,,,,,,
,2021,,,,244160959,SWW,,4/21/2021,N,NB10,ASY,,,N,,-,-,,01103FDDFD,,,,,,,
,2021,,,,244102049,SRW,,4/21/2021,P,NB64,ASY,,,,,,,,,,,,,,,
,2021,,Yes,,244160960,WG,,4/21/2021,N,NB10,Nestling,,,Y,,-,,,,,,,,,,
,2021,,yes,,244160961,RTR,,4/21/2021,N,NB23,Nestling,,,Y,,19.4,,,01103F78FD,,,,,,,
,2021,,yes,,244160962,RTO,,4/21/2021,N,NB23,Nestling,,,Y,,18.3,,,01103F8A7A,,,,,,,
,2021,,yes,,244160964,RTT,,4/21/2021,N,NB23,Nestling,,,Y,,18,,,01103FCE4E,,,,,,,
,2021,,yes,,244160965,RTB,,4/21/2021,N,NB23,Nestling,,,Y,,18,,,01103FB3ED,,,,,,,
,2021,,Yes,,244160963,RTY,,4/21/2021,N,NB23,Nestling,,,Y,,17.5,,,01103F5F66,,,,,,,
,2021,,Yes,,244160971,RBR,,4/21/2021,N,NB25,Nestling,,,Y,,21.2,,,01103FD315,,,,,,,
,2021,,yes,,244160966,RBC,,4/21/2021,N,NB25,Nestling,,,Y,,18.6,,,01103FDE18,,,,,,,
,2021,,yes,,244160967,RBY,,4/21/2021,N,NB25,Nestling,,,Y,,20.7,,,01103FD11A,,,,,,,
,2021,,yes,,244160968,RLL,,4/21/2021,N,NB64,Nestling,,,Y,,18.1,,,110171091,,,,,,,
,2021,,Yes,,244160969,RLW,,4/21/2021,N,NB64,Nestling,,,Y,,18,,,01103F6C4C,,,,,,,
,2021,,Yes,,244160970,RLO,,4/21/2021,N,NB64,Nestling,,,Y,,18,,,01103FB6E5,,,,,,,
,2021,,yes,,244160972,RLG,,4/21/2021,N,NB64,Nestling,,,Y,,16.8,,,01103FC472,,,,,,,
,2021,,yes,,244160973,RLS,,4/21/2021,N,NB64,Nestling,,,Y,,19,,,01103F7F97,,,,,,,
,2021,,yes,,244160974,RLR,,4/21/2021,N,NB64,Nestling,,,Y,,18.9,,,01103F4257,,,,,,,
,2021,,Yes,,244160983,ROT,,4/22/2021,N,NB53,Nestling,,,Y,,21,,,01103F9823,,,,,,,
,2021,,yes,,244160982,ROL,,4/22/2021,N,NB53,Nestling,,,Y,,18.3,,,01103F5EBC,,,,,,,
,2021,,Yes,,244160984,RON,,4/22/2021,N,NB53,Nestling,,,Y,,19.7,,,01103F7DA0,,,,,,,
,2021,,yes,,244160986,ROW,,4/22/2021,N,NB53,Nestling,,,Y,,17.7,,,01103F8174,,,,,,,
,2021,,Yes,,244160985,ROY,,4/22/2021,N,NB53,Nestling,,,Y,,18.6,,,01103F4C2F,,,,,,,
,2021,,yes,,244160987,ROR,,4/22/2021,N,NB53,Nestling,,,Y,,19.6,,,01103F3EDD,,,,,,,
,2021,,yes,,244160988,ROS,,4/22/2021,N,NB53,Nestling,,,Y,,19.4,,,01103F40EE,,,,,,,
