"Bird1","Bird2","Comm1","Comm2","SameCommunity","Season"
"PBP (was PBB)","STT",5,8,FALSE,"Spring 2026 Nesting Period_Communities"
"PDN","STT",4,8,FALSE,"Spring 2026 Nesting Period_Communities"
"PLS","STT",6,8,FALSE,"Spring 2026 Nesting Period_Communities"
"RBP","STT",7,8,FALSE,"Spring 2026 Nesting Period_Communities"
"RGT","STT",8,8,TRUE,"Spring 2026 Nesting Period_Communities"
"ROO","STT",9,8,FALSE,"Spring 2026 Nesting Period_Communities"
"RPP","STT",5,8,FALSE,"Spring 2026 Nesting Period_Communities"
"RTT","STT",10,8,FALSE,"Spring 2026 Nesting Period_Communities"
"SDO","STT",11,8,FALSE,"Spring 2026 Nesting Period_Communities"
"SGB","STT",8,8,TRUE,"Spring 2026 Nesting Period_Communities"
"CRY","SWB",1,7,FALSE,"Spring 2026 Nesting Period_Communities"
"GBO (was GPT)","SWB",2,7,FALSE,"Spring 2026 Nesting Period_Communities"
"GDN (was GDY)","SWB",1,7,FALSE,"Spring 2026 Nesting Period_Communities"
"GDO","SWB",3,7,FALSE,"Spring 2026 Nesting Period_Communities"
"GNG","SWB",4,7,FALSE,"Spring 2026 Nesting Period_Communities"
"PBP (was PBB)","SWB",5,7,FALSE,"Spring 2026 Nesting Period_Communities"
"PDN","SWB",4,7,FALSE,"Spring 2026 Nesting Period_Communities"
"PLS","SWB",6,7,FALSE,"Spring 2026 Nesting Period_Communities"
"RBP","SWB",7,7,TRUE,"Spring 2026 Nesting Period_Communities"
"RGT","SWB",8,7,FALSE,"Spring 2026 Nesting Period_Communities"
"ROO","SWB",9,7,FALSE,"Spring 2026 Nesting Period_Communities"
"RPP","SWB",5,7,FALSE,"Spring 2026 Nesting Period_Communities"
"RTT","SWB",10,7,FALSE,"Spring 2026 Nesting Period_Communities"
"SDO","SWB",11,7,FALSE,"Spring 2026 Nesting Period_Communities"
"SGB","SWB",8,7,FALSE,"Spring 2026 Nesting Period_Communities"
"STT","SWB",8,7,FALSE,"Spring 2026 Nesting Period_Communities"
"CRY","SWT",1,11,FALSE,"Spring 2026 Nesting Period_Communities"
"GBO (was GPT)","SWT",2,11,FALSE,"Spring 2026 Nesting Period_Communities"
"GDN (was GDY)","SWT",1,11,FALSE,"Spring 2026 Nesting Period_Communities"
"GDO","SWT",3,11,FALSE,"Spring 2026 Nesting Period_Communities"
"GNG","SWT",4,11,FALSE,"Spring 2026 Nesting Period_Communities"
"PBP (was PBB)","SWT",5,11,FALSE,"Spring 2026 Nesting Period_Communities"
"PDN","SWT",4,11,FALSE,"Spring 2026 Nesting Period_Communities"
