"tag","feeder","DateTime","Color_Combo","Sex","Age","time_diff","new_event","Event_ID"
"3B001923F9","A",2025-09-28 08:57:51,"RRR",NA,"HY",1,0,9
"3B001923F9","A",2025-09-28 08:59:13,"RRR",NA,"HY",82,0,9
"3B001923F9","A",2025-09-28 08:59:14,"RRR",NA,"HY",1,0,9
"3B001923F9","A",2025-09-28 08:59:15,"RRR",NA,"HY",1,0,9
"3B001923F9","A",2025-09-28 08:59:16,"RRR",NA,"HY",1,0,9
"3B001923F9","A",2025-09-28 09:00:17,"RRR",NA,"HY",61,0,9
"3B001923F9","A",2025-09-28 09:00:18,"RRR",NA,"HY",1,0,9
"3B00181EC1","A",2025-09-28 09:00:27,"RRY",NA,"HY",9,0,9
"3B001895C2","A",2025-09-28 10:24:16,"SWT",NA,"HY",5029,1,10
"3B001895C2","A",2025-09-28 10:24:18,"SWT",NA,"HY",2,0,10
"3B001895C2","A",2025-09-28 10:24:19,"SWT",NA,"HY",1,0,10
"3B001895C2","A",2025-09-28 10:24:20,"SWT",NA,"HY",1,0,10
"3B001895C2","A",2025-09-28 10:24:21,"SWT",NA,"HY",1,0,10
"3B001895C2","A",2025-09-28 10:25:18,"SWT",NA,"HY",57,0,10
"3B001895C2","A",2025-09-28 10:25:19,"SWT",NA,"HY",1,0,10
"3B001895C2","A",2025-09-28 10:26:11,"SWT",NA,"HY",52,0,10
"3B001895C2","A",2025-09-28 10:26:12,"SWT",NA,"HY",1,0,10
"3B001895C2","A",2025-09-28 10:26:13,"SWT",NA,"HY",1,0,10
"3B001895C2","A",2025-09-28 10:27:31,"SWT",NA,"HY",78,0,10
"3B001895C2","A",2025-09-28 10:27:33,"SWT",NA,"HY",2,0,10
"3B001895C2","A",2025-09-28 10:27:34,"SWT",NA,"HY",1,0,10
"3B001895C2","A",2025-09-28 10:58:57,"SWT",NA,"HY",1883,1,11
"3B001895C2","A",2025-09-28 10:59:39,"SWT",NA,"HY",42,0,11
"3B001895C2","A",2025-09-28 10:59:40,"SWT",NA,"HY",1,0,11
"3B001895C2","A",2025-09-28 11:00:29,"SWT",NA,"HY",49,0,11
"3B001895C2","A",2025-09-28 11:00:30,"SWT",NA,"HY",1,0,11
"3B001895C2","A",2025-09-28 11:00:31,"SWT",NA,"HY",1,0,11
"3B00181EC1","A",2025-09-28 12:02:24,"RRY",NA,"HY",3713,1,12
"3B00181EC1","A",2025-09-28 12:02:25,"RRY",NA,"HY",1,0,12
"3B001923F9","A",2025-09-28 12:03:21,"RRR",NA,"HY",56,0,12
"3B001923F9","A",2025-09-28 12:03:22,"RRR",NA,"HY",1,0,12
"3B00181EC1","A",2025-09-28 12:03:43,"RRY",NA,"HY",21,0,12
"3B00199599","A",2025-09-28 12:03:48,"RRD","F","AHY",5,0,12
"3B00199599","A",2025-09-28 12:03:49,"RRD","F","AHY",1,0,12
"3B00199599","A",2025-09-28 12:03:50,"RRD","F","AHY",1,0,12
"3B001923F9","A",2025-09-28 12:04:27,"RRR",NA,"HY",37,0,12
"3B001923F9","A",2025-09-28 12:04:28,"RRR",NA,"HY",1,0,12
"3B001923F9","A",2025-09-28 12:04:29,"RRR",NA,"HY",1,0,12
"3B001923F9","A",2025-09-28 12:04:30,"RRR",NA,"HY",1,0,12
"3B0018F001","A",2025-09-28 12:04:40,"SDO","M","HY",10,0,12
"3B0018F001","A",2025-09-28 12:04:41,"SDO","M","HY",1,0,12
"3B0018F001","A",2025-09-28 12:04:42,"SDO","M","HY",1,0,12
"3B0018F001","A",2025-09-28 12:05:14,"SDO","M","HY",32,0,12
"3B0018F001","A",2025-09-28 12:05:15,"SDO","M","HY",1,0,12
"3B0018F001","A",2025-09-28 12:05:16,"SDO","M","HY",1,0,12
"3B00181EC1","A",2025-09-28 12:06:53,"RRY",NA,"HY",97,0,12
"3B00181EC1","A",2025-09-28 12:06:54,"RRY",NA,"HY",1,0,12
"3B00181EC1","A",2025-09-28 12:06:56,"RRY",NA,"HY",2,0,12
"3B00181EC1","A",2025-09-28 12:06:57,"RRY",NA,"HY",1,0,12
"3B0018F001","A",2025-09-28 12:07:15,"SDO","M","HY",18,0,12
"3B0018F001","A",2025-09-28 12:07:16,"SDO","M","HY",1,0,12
"3B001923F9","A",2025-09-28 12:10:47,"RRR",NA,"HY",211,1,13
"3B001923F9","A",2025-09-28 12:10:48,"RRR",NA,"HY",1,0,13
"3B001923F9","A",2025-09-28 12:10:49,"RRR",NA,"HY",1,0,13
"3B001895C2","A",2025-09-28 14:11:53,"SWT",NA,"HY",7264,1,14
"3B001895C2","A",2025-09-28 14:13:21,"SWT",NA,"HY",88,0,14
"3B001895C2","A",2025-09-28 14:14:39,"SWT",NA,"HY",78,0,14
"3B001895C2","A",2025-09-28 14:16:01,"SWT",NA,"HY",82,0,14
"3B001895C2","A",2025-09-28 16:47:53,"SWT",NA,"HY",9112,1,15
"3B001895C2","A",2025-09-28 16:47:54,"SWT",NA,"HY",1,0,15
"3B001895C2","A",2025-09-28 16:47:55,"SWT",NA,"HY",1,0,15
"3B001895C2","A",2025-09-28 16:48:51,"SWT",NA,"HY",56,0,15
"3B001895C2","A",2025-09-28 16:48:52,"SWT",NA,"HY",1,0,15
"3B001895C2","A",2025-09-28 16:49:56,"SWT",NA,"HY",64,0,15
"3B001895C2","A",2025-09-28 16:49:58,"SWT",NA,"HY",2,0,15
"3B001895C2","A",2025-09-28 16:50:00,"SWT",NA,"HY",2,0,15
"3B001895C2","A",2025-09-28 16:50:01,"SWT",NA,"HY",1,0,15
"3B001895C2","A",2025-09-28 16:50:02,"SWT",NA,"HY",1,0,15
"3B001895C2","A",2025-09-28 16:50:03,"SWT",NA,"HY",1,0,15
"3B001895C2","A",2025-09-28 16:50:50,"SWT",NA,"HY",47,0,15
"3B001895C2","A",2025-09-28 16:50:51,"SWT",NA,"HY",1,0,15
"3B001923F9","A",2025-09-29 08:26:29,"RRR",NA,"HY",56138,1,16
"3B001923F9","A",2025-09-29 08:26:30,"RRR",NA,"HY",1,0,16
"3B001923F9","A",2025-09-29 08:26:31,"RRR",NA,"HY",1,0,16
"3B00199599","A",2025-09-29 08:26:39,"RRD","F","AHY",8,0,16
"3B0018F001","A",2025-09-29 08:27:12,"SDO","M","HY",33,0,16
"3B00199599","A",2025-09-29 08:27:23,"RRD","F","AHY",11,0,16
"3B00199599","A",2025-09-29 08:27:24,"RRD","F","AHY",1,0,16
"3B00199599","A",2025-09-29 08:27:25,"RRD","F","AHY",1,0,16
"3B001923F9","A",2025-09-29 08:27:33,"RRR",NA,"HY",8,0,16
"3B001923F9","A",2025-09-29 08:27:34,"RRR",NA,"HY",1,0,16
"3B0018F001","A",2025-09-29 08:27:39,"SDO","M","HY",5,0,16
"3B0018F001","A",2025-09-29 08:27:40,"SDO","M","HY",1,0,16
"3B0018F001","A",2025-09-29 08:27:43,"SDO","M","HY",3,0,16
"3B0018F001","A",2025-09-29 08:27:44,"SDO","M","HY",1,0,16
"3B0018F001","A",2025-09-29 08:27:45,"SDO","M","HY",1,0,16
"3B0018F001","A",2025-09-29 08:27:46,"SDO","M","HY",1,0,16
"3B0018F001","A",2025-09-29 08:27:47,"SDO","M","HY",1,0,16
"3B00181EC1","A",2025-09-29 08:27:53,"RRY",NA,"HY",6,0,16
"3B00199599","A",2025-09-29 08:28:04,"RRD","F","AHY",11,0,16
"3B00199599","A",2025-09-29 08:28:05,"RRD","F","AHY",1,0,16
"3B001923F9","A",2025-09-29 08:28:15,"RRR",NA,"HY",10,0,16
"3B001923F9","A",2025-09-29 08:28:16,"RRR",NA,"HY",1,0,16
"3B001923F9","A",2025-09-29 08:28:55,"RRR",NA,"HY",39,0,16
"3B001923F9","A",2025-09-29 08:28:56,"RRR",NA,"HY",1,0,16
"3B001923F9","A",2025-09-29 08:28:57,"RRR",NA,"HY",1,0,16
"3B00199599","A",2025-09-29 08:29:06,"RRD","F","AHY",9,0,16
"3B0018F001","A",2025-09-29 08:30:01,"SDO","M","HY",55,0,16
"3B0018F001","A",2025-09-29 08:30:04,"SDO","M","HY",3,0,16
"3B0018F001","A",2025-09-29 08:30:05,"SDO","M","HY",1,0,16
"3B001923F9","A",2025-09-29 08:30:30,"RRR",NA,"HY",25,0,16
"3B001923F9","A",2025-09-29 08:30:31,"RRR",NA,"HY",1,0,16
"3B00181EC1","A",2025-09-29 08:30:43,"RRY",NA,"HY",12,0,16
"3B001923F9","A",2025-09-29 08:33:06,"RRR",NA,"HY",143,1,17
"3B001923F9","A",2025-09-29 08:33:08,"RRR",NA,"HY",2,0,17
"3B001923F9","A",2025-09-29 08:33:09,"RRR",NA,"HY",1,0,17
"3B001923F9","A",2025-09-29 08:34:53,"RRR",NA,"HY",104,0,17
"3B00181EC1","A",2025-09-29 08:35:07,"RRY",NA,"HY",14,0,17
"3B001923F9","A",2025-09-29 08:36:26,"RRR",NA,"HY",79,0,17
"3B0018F001","A",2025-09-29 08:36:40,"SDO","M","HY",14,0,17
"3B0018F001","A",2025-09-29 08:36:41,"SDO","M","HY",1,0,17
"3B0018F001","A",2025-09-29 08:36:42,"SDO","M","HY",1,0,17
"3B0018F001","A",2025-09-29 08:36:43,"SDO","M","HY",1,0,17
"3B0018F001","A",2025-09-29 08:37:26,"SDO","M","HY",43,0,17
"3B001923F9","A",2025-09-29 08:37:52,"RRR",NA,"HY",26,0,17
"3B001923F9","A",2025-09-29 08:37:53,"RRR",NA,"HY",1,0,17
"3B001923F9","A",2025-09-29 08:37:54,"RRR",NA,"HY",1,0,17
"3B00181EC1","A",2025-09-29 09:30:03,"RRY",NA,"HY",3129,1,18
"3B0018F001","A",2025-09-29 09:30:17,"SDO","M","HY",14,0,18
"3B00181EC1","A",2025-09-29 09:31:02,"RRY",NA,"HY",45,0,18
"3B001923F9","A",2025-09-29 09:33:54,"RRR",NA,"HY",172,1,19
"3B001923F9","A",2025-09-29 09:33:55,"RRR",NA,"HY",1,0,19
"3B001923F9","A",2025-09-29 09:33:56,"RRR",NA,"HY",1,0,19
"3B0018F001","A",2025-09-29 09:34:49,"SDO","M","HY",53,0,19
"3B00181EC1","A",2025-09-29 09:34:58,"RRY",NA,"HY",9,0,19
"3B00181EC1","A",2025-09-29 09:34:59,"RRY",NA,"HY",1,0,19
"3B00199599","A",2025-09-29 09:35:09,"RRD","F","AHY",10,0,19
"3B00199599","A",2025-09-29 09:35:10,"RRD","F","AHY",1,0,19
"3B0018F001","A",2025-09-29 09:35:41,"SDO","M","HY",31,0,19
"3B0018F001","A",2025-09-29 09:35:42,"SDO","M","HY",1,0,19
"3B0018F001","A",2025-09-29 09:35:43,"SDO","M","HY",1,0,19
"3B0018F001","A",2025-09-29 09:35:44,"SDO","M","HY",1,0,19
"3B00181EC1","A",2025-09-29 11:43:29,"RRY",NA,"HY",7665,1,20
"3B00199599","A",2025-09-29 11:43:38,"RRD","F","AHY",9,0,20
"3B00199599","A",2025-09-29 11:43:39,"RRD","F","AHY",1,0,20
"3B00199599","A",2025-09-29 11:43:40,"RRD","F","AHY",1,0,20
"3B001923F9","A",2025-09-29 11:43:42,"RRR",NA,"HY",2,0,20
"3B001923F9","A",2025-09-29 11:43:43,"RRR",NA,"HY",1,0,20
"3B0018F001","A",2025-09-29 11:43:49,"SDO","M","HY",6,0,20
"3B0018F001","A",2025-09-29 11:43:50,"SDO","M","HY",1,0,20
"3B0018F001","A",2025-09-29 11:44:51,"SDO","M","HY",61,0,20
"3B0018F001","A",2025-09-29 11:44:52,"SDO","M","HY",1,0,20
"3B0018F001","A",2025-09-29 11:44:53,"SDO","M","HY",1,0,20
"3B0018F001","A",2025-09-29 11:44:54,"SDO","M","HY",1,0,20
"3B0018F001","A",2025-09-29 11:44:55,"SDO","M","HY",1,0,20
"3B001923F9","A",2025-09-29 11:45:00,"RRR",NA,"HY",5,0,20
"3B001923F9","A",2025-09-29 11:45:01,"RRR",NA,"HY",1,0,20
"3B00181EC1","A",2025-09-29 11:45:10,"RRY",NA,"HY",9,0,20
"3B001923F9","A",2025-09-29 11:45:52,"RRR",NA,"HY",42,0,20
"3B001923F9","A",2025-09-29 11:45:54,"RRR",NA,"HY",2,0,20
"3B00199599","A",2025-09-29 11:46:11,"RRD","F","AHY",17,0,20
"3B00199599","A",2025-09-29 11:46:12,"RRD","F","AHY",1,0,20
"3B001923F9","A",2025-09-29 11:46:59,"RRR",NA,"HY",47,0,20
"3B001923F9","A",2025-09-29 11:47:00,"RRR",NA,"HY",1,0,20
"3B001923F9","A",2025-09-29 11:47:01,"RRR",NA,"HY",1,0,20
"3B001923F9","A",2025-09-29 11:47:02,"RRR",NA,"HY",1,0,20
