Nestbox,"PAIRS, first round",,,"PAIRS, second round",,,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,STR,GRB,,E,E,E,W/R,E,,,,,,,,(5),,,,,,,(5),,,(5),,,,5,,,,,,,4,,,5,,,5,,,,O,,,,,,,OLD,.,,,,,,(5),,,,,,,(5),,,,,,,(1) 4,,,,,,,4,,,,,4,"nestling was injured and then next day they were there, but then later that next day, they were gone-SO MAY HAVE FLEDGED EARLY. CHECK RFID.",.,,,,,,,RFID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,E,E,E,E,E,,,,,,,,E,,,,,,,E,,,E,,,,E,,,,,,,E,,,E,,,,,,,E,,,,G,,,I,,,,,,,I,,,,,,,I,,,,,,,I,,,,,,,W/R,,,,,,,.,,G,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PBS,,,E,E,E,W/R,E,,,,,,,,W/O,,,,,,,W/O,,,"W/O (volunteer marked as O species, nest build w, 1 egg)",.,,,W/O,,,,,,,W/O,,,W/O,,,,,,,W/O,,,,W/O,,,W/O ,,,,,,,W/O,,,,,,,W/O? ,,,,,,,(6),,,,,,,(6),,,,,,,(1) 5,,,,,,,W/O,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,SOR,,,E,E,E,L,E,,,,,,,,(3),,,,,,,(1)5--this was changed from original by TGM,.,,(1)3,,,,4,,,,,,,1(4),4,,4,,,,,,,(1),,,,(1),,,(1),,,,,,,(4),,,,,,,(6) ,,,,,,,(5) 1,,,,,,(1) 5,(1) 5 ,,,,,5,,.,,,,,,,RFID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,UNB 99%,UNB 90%,,E,E,E,E,E,,,,,,,,(2) [DOUBLE CHECK NEXT TRIP],.,,,,,,(2),,,,,,,U,,,(+4) maybe abandoned,.,,,(7) parent on nest,.,,,,,,,,,(6),,.,,(1)6,,,6(1),,,,,,,6,,,,,,,OLD,,,,,,,OLD,,,,,,,,OLD,,,,,,E,,,,,,,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,E,E,E,E,E,,,,,,,,W/O,,,,,,,W/O,,,W/O,,,,W/O,,,,,,,W/O,,,W/O,,,,,,,W/R,,,,E,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,.,,E,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,E,E,W/R,E,,,,,,,,U,,,,,,,U,,,(4) (volunteer listed eggs in notes),.,,,(6),,,(6),,,,P,,,"O (parent would not leave, unable to count)",.,,,,,,6,,,,5,,,6,,,,,,,,,,,,,,,,,,,,,W/O,,,,,,,W/O,,,,,,,?/O,,,,,,,W/O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,E,W/R,W/R,E,,,,,,,,W/O,,,,,,,W/O,,,W/O,,,,W/O,,,W/O,,,,W/O,,,W/O,,,,,,,W/R,,,,E,,,W/R,,,,,,,W/R,,,,,,,W/R,,,,,,,E,,,,,,,E,,,,,,,?/O,,,,,,,W/R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PBN,,,,E,E,E,E,,,,,,,,U,,,,,,,O,,,(6),,,,(6),,,(6),,,,(6),,,6,,,,,,,6,,,,6,,,,,,,,,,,,,,,,,O,,,,,,,(5),,,,,,,(5),,,,,,,5,,,,,,,4 (pulled out???),,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,E,W/R,W/R,E,,,,,,,,W/R,,,,,,,W/R,,,E,,,,E,,,E,,,,W/R,,,E,,,,,,,E,,,,W/R,,,G,,,,,,,,,,,,,,W/R,,,,,,,E,,,,,,,E,,,,,,,W?/O,,,,,,,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,E,E,E,E,,,,,,,,W/R,,,,,,,W/R,,,E,,,,W/R,,,E,,,,E,,,W/R,,,,,,,W/R,,,,E,,,G,,,,,,,G,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,.,,G,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,E,E,W/R,E,,,,,,,,W/R,,,,,,,,,,E,,,,E,,,E,,,,G,,,E,,,,,,,E,,,,E,,,W/R,,,,,,,W/R,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,W?/O,,,,,,,O ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,UNB 99%,UNB 99%,,,E,E,E,E,,,,,,,,E,,,,,,,(2),,,,,,,(5),,,(5),,,,(5),,,,,,,,,,5,,,,,,,RFID,,,,,,,,,,,,,,O,,,,,,,U,,,,,,,,U,,,,,,U,,,,,,,OLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,E,E,,E,,,,,,,,,W/R,,,,,,,E,,,W/R,,,,I,,,E,,,,E,,,W/R,,,,,,,W/R,,,,W/R,,,I,,,,,,,W/R,,,,,,,W/R,,,,,,,W/R,,,,,,,W/R,,,,,,,W/R,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,OLD,O,,L,O,,,,,,,,O,,,,,,,U,,,O,,,,O,,,L,,,,U,,,U,,,,,,,O (feather lined but empty),.,,,(2),,,(5),,,,,,,(3),,,,,,,(2),,OLD,,,,,(3),,,,,,,(2),,,,,,,(3),,,,,eggs broken,,(3) 2 broken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,OLD,L,,L,L,,,,,,,,L,,,,,,,L,,,E [grass in hole],.,,,L,,,L,,,,L,,,E,,,,,,,G,,,,G,,,G,,,,,,,L,,,,,,,L,,,,,,,E,,,,,,,E,,,,,,,.,,G,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,E,,,E,,,,,,,,,L,,,,,,,L,,,L,,,,(5),,,(6),,,,(6),,,"P *Parent in nest, unable to obtain data",.,,,,,,6,,,,6(1),,,6(1),,,6,,,,,,,,,,,,,,,,,,1 ,,,,,,,O,,,,,,,(1),,,,,,,(1) not titmouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,OLD,,,E,,,,,,,,,I,,,,,,,E,,,E,,,,W/R,,,E,,,,L,,,"(1) (mossy nest, but unsure if titmouse)",.,,,,,,(6),,,,(6),,,(6),,,,,,,4,,,,,,,4,,4,,,,,,,,,,,,O,,,,,,,OLD,,,,,,,OLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,W/R,,,E,,,,,,,,,E,,,,,,,E,,,E,,,,E,,,E,,,,E,,,G,,,,,,,E,,,,E,,,W/R,,,,,,,G,,,,,,,E,,,,,,,E,,,,,,,W/R,,,,,,,W/O,,,,,,,W/O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,E,,,W/R,,,,,,,,,W/O,,,,,,,,,,W/O,,,,W/O,,,W/O,,,,W/O,,,W/O(?) (occupation staus not noted),.,,,,,,W/R,,,,W/R,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,W/R,,,,,,,W/O,,,,,,,W/O?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,W/R,,,I,,,,,,,,,(6),,,,,,,,,,5 [single cracked egg found out of nest],.,,,5,,,5,,,,5,,,5,,,,,,,U,,,,O,,,U,,,,,,,U,,,,,,,U,,,,,,,OLD,,,,,,,O,,,,,,,E,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,UNB 85%,GBO,,W/R,,,E,,,,,,,,,W/R,,,,,,,,,,E,,,,E,,,E,,,,E,,,E,,,,,,,E,,,,E,,,I,,,,,,,(5),,,,,,,(6),,,,,,,(2) 4,,,,,,(1) 5 ,(1) 5 ,,,,,,5,.,,,,,,,OLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,W/R,,,E,,,,,,,,,(3),,,,,,,,,,W/O (4)[wren eggs built on top of tm nest],.,,,(4),,,W/O,,,,4,,,4,,,,,,,4,,,,O,,,*Empty but looks 'used'?,.,,,,,,W/O?,,,,,,,W/O,,,,,,,W/O,,,,,,,W/O,,,,,,,?/O,,,,,,,W/O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,OLD/R,,,I,,,,,,,,,I,,,,,,,,,,E,,,,E,,,E,,,,G,,,E,,,,,,,G,,,,E,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,GLB,YYY,,E,,,E,,,,,,,,,E,,,,,,,,,,E,,,,E,,,E,,,,G,,,E,,,,,,,E,,,,E,,,U,,,,,,,(3),,,,,,,(5),,,,,,,L/O,,,,,,,6,,,,,,5,5,,,,,,,RFID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,W/R,,,E,,,,,,,,,W/R,,,,,,,,,,W/R,,,,W/R,,,U,,,,O,,,(3),,,,,,,(6),,,,(6),,,(5),,,,,,,5,,,,,,,5,,,,,,,,,,,,,,O,,,,,,,OLD,,,,,,,OLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,OLD/R,,,I,,,,,,,,,W/R,,,,,,,,,,E,,,,E,,,E,,,,G,,,E,,,,,,,G,,,,W/R,,,E,,,,,,,W/R,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,W/R,,,E,,,,,,,,,W/R,,,,,,,,,,W/O,,,,W/O,,,W/O,,,,W/O,,,W/O,,,,,,,W/O,,,,W/O,,,W/O,,,,,,,W/O,,,,,,,W/R,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,W/R,,,E,,,,,,,,,E,,,,,,,,,,W/R,,,,E,,,E,,,,E,,,E,,,,,,,G,,,,E,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,W/R,,,E,,,,,,,,,E,,,,,,,,,,E,,,,W/R,,,E,,,,W/R,,,E,,,,,,,G,,,,W/R,,,W/R,,,,,,,W/R,,,,,,,W/R,,,,,,,W/R,,,,,,,E,,,,,,,E,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,,E,,,E,,,,,,,,,E,,,,,,,,,,E,,,,E,,,E,,,,E,,,E,,,,,,,G,,,,E,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,UNB 99%,,,W/R,,,E,,,,,,,,,W/R,,,,,,,,,,(2),,,,O,,,(5),,,,(5),,,(5),,,,,,,5,,,,5,,,5,,,5,,,,,,,,,,,,,,,,,,O,,,,,,,O,,,,,,,L,,,,,,,OLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,UNB 99%,UNB 85%,,OLD/R,,,E,,,,,,,,,E,,,,,,,,,,E,,,,L,,,U,,,,(2),,,(5),,,,,,,(6),,,,(6),,,4(2),,,,,,,6,,,,,,,6,,,,,,,,,,,,,,L,,,,,,,L,,,,,,,OLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,W/R,,,W/R,,,,,,,,,W/R,,,,,,,,,,E,,,,E,,,E,,,,G,,,E,,,,,,,G,,,,G,,,G,,,,,,,G,,,,,,,E,,,,,,,W/C/O?,,,,,,,W/O,,,,,,,W/O,,,,,,,W/R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,GBO 99%,UNB 99%,,OLD/R,,,I,,,,,,,,,L,,,,,,,,,,"(6) [progress marked I/L, eggs on wood]",.,,,(2),,,(2),,,,(5),,,(8),,,,,,,(8),,,,4(4),,,6(2),,,,,,,(2) 6,,,,,,,6(1 FLEDGED BEFORE PROCESSED),.,,,,,,OLD,,,,,,,E,,,,,,,E,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,W/R,,,E,,,,,,,,,W/R,,,,,,,,,,W/R,,,,"W/? [2 wren eggs, no nest]",.,,E,,,,G,,,E,,,,,,,W/O,,,,W/R,,,W/R,,,,,,,(1),,,,,,,,,,,,,,W/O,,,,,,,W/O,,,,,,,W/O,,,,,,,W/R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,,W/R,,,W/R,,,,,,,,,W/R,,,,,,,,,,E,,,,E,,,E,,,,G,,,E,,,,,,,E,,,,G,,,"*no notes on nest build progress, grass placed",.,,,,,,G,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,OLD/R,,,W/R,,,,,,,,,W/O,,,,,,,,,,W/O,,,,W/O,,,W/O,,,,6,,,W/O?(occupation status not listed),.,,,,,,"No notes on nest bld progress, just said 'old?'",.,,,W/R,,,"*no notes on nest build progress, grass placed",.,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,E,,,E,,,,,,,,,(5),,,,,,,,,,(5),,,,5,,,5,,,,5,,,5,,,,,,,O,,,,O,,,O,,,,,,,OLD,,,,,,,E,,,,,,,OLD,,,,,,,E,,,,,,,E,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,W/R,,,W/R,,,,,,,,,W/O,,,,,,,,,,W/O,,,,W/O,,,W/O,,,,7,,,W/O?(occupation status not listed),.,,,,,,W/O,,,,E,,,"*no notes on nest build progress, grass placed",.,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,W/R,,,E,,,,,,,,,U,,,,,,,,,,O,,,,O,,,U,,,,O,,,O,,,,,,,"No notes on nest bld progress, just said 'old?'",.,,,O,,,O,,,,,,,O,,,,,,,E,,,,,,,OLD,,,,,,,O,,,,,,,W/R,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,OLD/R,,,E,,,,,,,,,U,,,,,,,,,,(8),,,,(8),,,(8) [listed C species],.,,,C/O,,,(2)6,,,,,,,6,,,,C/O,,,C/O,,,,,,,O,,,,,,,E,,,,,,,E,,,,,,,O,,,,,,,O ,,,,,,,W/R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,,,W/R,,,W/R,,,,,,,,,E,,,,,,,,,,E,,,,E,,,E,,,,G,,,E,,,,,,,G,,,,G,,,G,,,,,,,G,,,,,,,W/R,,,,,,,E,,,,,,,W/R,,,,,,,W/R,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,UNB,,,E,,,E,,,,,,,,,U,,,,,,,,,,(5),,,,(6),,,(6),,,,(6),,,(6),,,,,,,(1)5,,,,5,,,5,,,,,,,,.,,,,,,O,,,,,,,OLD,,,,,,,E,,,,,,,O,,,,,,,O ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,UNB 90%,Y right 80%,.,,E,E,E,E,,,,,,,,(6),,,,,,,,,,,,,,,,,5,,,,5,,,,,,E,,,,O,,,,O,,,G,,,,,,,,,,,,,,O,,,,,,,W/R,,,,,,,,E,,,,,,E,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,E,E,E,E,,,,,,,,W/R,,,,,,,,,,W/R,,,,E,,,E,,,,E,,,E,,,,,,,E,,,,W/R,,,G,,,,,,,G,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,.,,E,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,GBG,,,,E,E,W/R,,,,,,,,,(6),,,,,,,(1) 6,,,(1)5 ,,,,5,,,,,,,5,,,5(1 escaped before was banded/bled),.,,,,,,E,,,,W/R,,,(2),,,,O(6),,,(6),,,,,,,E,,,,,,,5,,,,,,,5 ,,,,,,,.,,,,,,,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,E,W/R,E,,,,,,,,,W/O,,,,,,,W/O,,,W/O,,,,W/O,,,,,,,W/O,,,,,,,,,,W/O,,,,W/O,,,W/R,,,,,,,G,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,W?/O,,,,,,,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,,,E,E,E,,,,,,,,,E,,,,,,,E,,,E,,,,,,,,,,,G,,,,,,,,,,G,,,,G,,,G,,,,,,,G,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,.,,E,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
