Nestbox,"PAIRS, first round",,,"PAIRS, second round",,,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,.,.,,.,.,E,,,,,,,W/R or E,,,,,,,,,,W/R,,,,,,,W/R,,,,G,,,E,,,,-,,,-,,,,-,,,E,,,,-,,,G,,,,,,,G,,,,,,,E,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38A,.,.,,.,.,E,,,,,,,E,,,,,,,,,,E,,,,,,,-,,,,E,,,E,,,,-,,,-,,,,-,,,E,,,,-,,,W/?,,,,,,,G,,,,,,,E,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,,,,,,,,,,,,,38A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38B (old: 95) DNE?,.,.,,.,.,E,,,,,,,E,,,,,,,,,,W/R,,,,,,,W/R,,,,E,,,E,,,,-,,,-,,,,-,,,E,,,,-,,,E,,,,,,,G,,,,,,,E,,,,,,,G,,,,,,,E,,,,,,,G,,,,,,,E,,,,,,,,,,,,,,,,,,,38B (old: 95) DNE?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,.,.,,.,.,E,,,,,,,E,,,,,,,,,,E,,,,,,,-,,,,G,,,G,,,,-,,,-,,,,-,,,E,,,,-,,,E,,,,,,,G,,,,,,,E,,,,,,,G,,,,,,,E,,,,,,,G,,,,,,,E,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,.,.,,.,.,E,,,,,,,E,,,,,,,,,,W/R,,,,,,,W/R,,,,G,,,W/R,,,,-,,,U,,,,-,,,U,,,,-,,,(6),,,,,,,2(4),,,,,,,6,,,,,,,5,,,,,,,C,,,,,,,C,,,,,,,OLD,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,.,.,,.,.,E,,,,,,,E,,,,,,,,,,W/R,,,,,,,W/R,,,,L,,,U,,,,-,,,(3),,,,-,,,(6),,,,-,,,(6),,,,,,,6,,,,,,,5,,,,,,,C,,,,,,,U,,,,,,,C,,,,,,,C/OLD,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,.,.,,.,.,W/R,,,,,,,E,,,,,,,,,,E,,,,,,,-,,,,W/R,,,I,,,,-,,,U,,,,-,,,(6),,,,-,,,(6),,,,,,,5(1),,,,,,,5(1),,,,,,,5(1),,,,,,,OLD,,,,,,,C,,,,,,,G,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,.,.,,.,.,E,,,,,,,E,,,,,,,,E,,E,,,,,,,E,,,,W/R,,,W/R,,,,E,,,-,,,,E,,,Y,,,,-,,,G,,,E,,,,G,,,,,,,E,,,,,,,E,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,.,.,,.,.,E,,,,,,,E,,,,,,,,W/R,,W/R,,,,,,,W/R,,,,E,,,E,,,,E,,,L,,,,W/R,,,G,,,,-,,,W/R,,,W/R,,,,W/R,,,,,,,W/R,,,,,,,W/R,,,,,,,E,,,,,,,G,,,,,,,E,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,.,.,,.,.,E,,,,,,,E,,,,,,,,E,,E,,,,,,,E,,,,E,,,E,,,,E,,,U,,,,C,,,(3),,,,-,,,(7),,,(7),,,,(7),,,,,,,(7),,,,,,,(7),,,,,,,(7),,,,,,,(7),,,,,,,(4),,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,.,.,,.,.,E,,,,,,,E,,,,,,,,G,,E,,,,,,,G,,,,G,,,G,,,,E,,,-,,,,G,,,G,,,,-,,,W/O,,,G,,,,G,,,,,,,W/O,,,,,,,W/O,,,,,,,W/R,,,,,,,G,,,,,,,E,,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,.,.,,.,.,E,,,,,,,E,,,,,,,,G,,E,,,,,,,E,,,,C,,,L,,,,U,,,U,,,,U,,,U,,,,-,,,U,,,L,,,,U,,,,,,,U,,,,,,,L,,,,,,,OLD,,,,,,,OLD,,,,,,,OLD,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,.,.,,.,.,E,,,,,,,E,,,,,,,,W/R,,W/R,,,,,,,W/R,,,,G,,,G,,,,G,,,-,,,,W/O,,,W/O,,,,-,,,W/O,,,W/O,,,,W/O,,,,,,,W/O,,,,,,,W/R,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,.,.,,.,.,E,,,,,,,W/R,,,,,,,,,,W/R,,,,,,,W/R,,,,E,,,G,,,,-,,,-,,,,-,,,E,,,,-,,,E,,,,,,,G,,,,,,,E,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,W/R,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,.,.,,.,.,W/R,,,,,,,W/R,,,,,,,,,,E,,,,,,,W/R,,,,W/R,,,G,,,,-,,,W/R,,,,-,,,E,,,,-,,,W/?,,,,,,,W/R,,,,,,,W/?,,,,,,,W/R,,,,,,,W/R,,,,,,,W/R,,,,,,,E,,,,,,,,,,,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,.,.,,.,.,E,,,,,,,E,,,,,,,,,,E,,,,,,,-,,,,W/R,,,L,,,,-,,,L,,,,-,,,L,,,,-,,,L,,,,,,,L,,,,,,,L,,,,,,,L,,,,,,,W/O,,,,,,,W/O,,,,,,,W/O,,,,,,,,,,,,,,,,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,.,.,,.,.,E,,,,,,,E,,,,,,,,,,W/R,,,,,,,W/R,,,,E,,,E,,,,-,,,-,,,,-,,,E,,,,-,,,E,,,,,,,G,,,,,,,E,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,.,.,,.,.,I,,,,,,,E,,,,,,,,,,L -> U,,,,,,,U,,,,(1),,,(3),,,,-,,,(6),,,,-,,,(6),,,,-,,,4(1),,,,,,,4(1),,,,,,,OLD,,,,,,,OLD,,,,,,,C,,,,,,,C,,,,,,,OLD,,,,,,,,,,,,,,,,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,.,.,,.,.,E,,,,,,,E,,,,,,,,,,E,,,,,,,W/R,,,,E,,,W/R,,,,-,,,-,,,,-,,,W/R,,,,-,,,E,,,,,,,-,,,,,,,E,,,,,,,G,,,,,,,E,,,,,,,G,,,,,,,G,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,.,.,,.,.,E,,,,,,,E,,,,,,,,,,W/R,,,,,,,W/R,,,,W/R,,,W/R,,,,-,,,W/R,,,,-,,,W/R,,,,-,,,G,,,,,,,W/O,,,,,,,W/O,,,,,,,W/O,,,,,,,W/O,,,,,,,G,,,,,,,G,,,,,,,,,,,,,,,,,,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,.,.,,.,.,E,,,,,,,E,,,,,,,,,,E,,,,,,,-,,,,G,,,E,,,,-,,,(1),,,,-,,,(7),,,,-,,,(7),,,,,,,4(3),,,,,,,7,,,,,,,6,,,,,,,OLD,,,,,,,C,,,,,,,L,,,,,,,,,,,,,,,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,.,.,,.,.,E,,,,,,,E,,,,,,,,,,W/R,,,,,,,-,,,,G,,,G,,,,-,,,-,,,,-,,,E,,,,-,,,G,,,,,,,G,,,,,,,E,,,,,,,G,,,,,,,E,,,,,,,G,,,,,,,G,,,,,,,,,,,,,,,,,,,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,.,.,,.,.,E,,,,,,,E,,,,,,,,,,E,,,,,,,-,,,,E,,,G,,,,-,,,-,,,,-,,,E,,,,-,,,G,,,,,,,W/R,,,,,,,E,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,.,.,,.,.,I,,,,,,,E,,,,,,,,,,W/R,,,,,,,E,,,,W/R,,,W/R,,,,-,,,W/R,,,,-,,,E,,,,-,,,G,,,,,,,G,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,G,,,,,,,G,,,,,,,,,,,,,,,,,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,.,.,,.,.,E,,,,,,,E,,,,,,,,,,E,,,,,,,E,,,,E,,,L,,,,-,,,(3),,,,-,,,(7),,,,-,,,(7),,,,,,,6,,,,,,,7,,,,,,,C,,,,,,,OLD,,,,,,,OLD,,,,,,,G,,,,,,,,,,,,,,,,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,.,.,,.,.,WR,,,,,,,W/R,,,,,,,,,,W/R,,,,,,,E,,,,E,,,-,,,,-,,,G,,,,-,,,G,,,,-,,,G,,,,,,,E,,,,,,,G,,,,,,,G,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,.,.,,.,.,I,,,,,,,E,,,,,,,,,,W/R,,,,,,,E,,,,G,,,-,,,,-,,,G,,,,-,,,W/R,,,,-,,,E,,,,,,,E,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,E,,,,,,,W/R,,,,,,,,,,,,,,,,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,.,.,,.,.,E,,,,,,,E,,,,,,,,,,E,,,,,,,E,,,,E,,,I,,,,-,,,C,,,,-,,,(6),,,,-,,,(6),,,,,,,6,,,,,,,6,,,,,,,C,,,,,,,OLD,,,,,,,G,,,,,,,C,,,,,,,,,,,,,,,,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,.,.,,.,.,I,,,,,,,E,,,,,,,,,,E,,,,,,,E,,,,I,,,E,,,,-,,,G,,,,-,,,E,,,,-,,,E,,,,,,,E,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,,,,,,,,,,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,.,.,,.,.,E,,,,,,,E,,,,,,,,,,G,,,,,,,G,,,,G,,,-,,,,-,,,G,,,,-,,,W/R,,,,-,,,E,,,,,,,E,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,E,,,,,,,E,,,,,,,,,,,,,,,,,,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,.,.,,.,.,E,,,,,,,E,,,,,,,,,,E,,,,,,,E,,,,G,,,-,,,,-,,,G,,,,-,,,G,,,,-,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,.,.,,.,.,WR,,,,,,,E,,,,,,,,,,W/R,,,,,,,E,,,,G,,,W/R,,,,-,,,E,,,,-,,,E,,,,-,,,E,,,,,,,E,,,,,,,E,,,,,,,W/O,,,,,,,W/O,,,,,,,W/O,,,,,,,W/O,,,,,,,,,,,,,,,,,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,.,.,,.,.,E,,,,,,,E,,,,,,,,,,E,,,,,,,G,,,,G,,,-,,,,-,,,G,,,,-,,,G,,,,-,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,,,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,.,.,,.,.,E,,,,,,,E,,,,,,,,,,G,,,,,,,G,,,,W/R,,,-,,,,-,,,E,,,,-,,,W/R,,,,-,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,,,,,,,,,,,,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,.,.,,.,.,E,,,,,,,E,,,,,,,,,,E,,,,,,,E,,,,E,,,-,,,,-,,,L,,,,-,,,U,,,,-,,,(6),,,,,,,(6),,,,,,,6,,,,,,,6,,,,,,,C,,,,,,,OLD,,,,,,,C,,,,,,,,,,,,,,,,,,,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,.,.,,.,.,L,,,,,,,E,,,,,,,,,,I,,,,,,,E,,,,E,,,-,,,,-,,,E,,,,-,,,G,,,,-,,,E,,,,,,,E,,,,,,,W/R,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,.,.,,.,.,E,,,,,,,E,,,,,,,,,,W/R,,,,,,,E,,,,E,,,W/R,,,,-,,,G,,,,-,,,G,,,,-,,,G,,,,,,,W/R,,,,,,,G,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,G,,,,,,,,,,,,,,,,,,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,.,.,,.,.,E,,,,,,,E,,,,,,,,,,G,,,,,,,G,,,,G,,,-,,,,-,,,E,,,,-,,,W/R,,,,-,,,E,,,,,,,E,,,,,,,G,,,,,,,G,,,,,,,E,,,,,,,E,,,,,,,G,,,,,,,,,,,,,,,,,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,.,.,,.,.,E,,,,,,,E,,,,,,,,,,G,,,,,,,G,,,,G,,,-,,,,-,,,G,,,,-,,,G,,,,-,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,.,.,,.,.,E,,,,,,,E,,,,,,,,,,E,,,,,,,G,,,,W/R,,,W/R,,,,-,,,W/R,,,,-,,,W/O,,,,-,,,W/O,,,,,,,W/O,,,,,,,W/O,,,,,,,W/O,,,,,,,W/R,,,,,,,E,,,,,,,W/R,,,,,,,,,,,,,,,,,,,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,.,.,,.,.,E,,,,,,,E,,,,,,,,,,G,,,,,,,E,,,,E,,,W/R,,,,-,,,E,,,,-,,,E,,,,-,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,.,.,,.,.,E,,,,,,,E,,,,,,,,,,E,,,,,,,E,,,,G,,,-,,,,-,,,E,,,,-,,,G,,,,-,,,G,,,,,,,E,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,,,,,,,,,,,,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,.,.,,.,.,E,,,,,,,E,,,,,,,,,,E,,,,,,,E,,,,E,,,-,,,,-,,,E,,,,-,,,E,,,,-,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,,,,,,,,,,,,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,.,.,,.,.,I,,,,,,,E,,,,,,,,,,G,,,,,,,E,,,,G,,,I,,,,-,,,W/R,,,,-,,,(5),,,,-,,,(2),,,,,,,(6),,,,,,,G,,,,,,,3(4),,,,,,,3(3),,,,,,,(1),,,,,,,(1),,,,,,,,,,,,,,,,,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,.,.,,.,.,E,,,,,,,E,,,,,,,,,,E,,,,,,,W/R,,,,W/R,,,-,,,,-,,,W/R,,,,-,,,U,,,,-,,,(6),,,,,,,(6),,,,,,,6,,,,,,,6,,,,,,,5,,,,,,,F/R,,,,,,,E,,,,,,,,,,,,,,,,,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,.,.,,.,.,E,,,,,,,E,,,,,,,,,,W/R,,,,,,,W/R,,,,E,,,-,,,,-,,,E,,,,-,,,W/R,,,,-,,,E,,,,,,,W/O,,,,,,,W/O,,,,,,,W/O,,,,,,,5(1),,,,,,,F/R,,,,,,,E,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,.,.,,.,.,E,,,,,,,E,,,,,,,,,,G,,,,,,,G,,,,G,,,-,,,,-,,,G,,,,-,,,G,,,,-,,,G,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,G,,,,,,,G,,,,,,,?,,,,,,,,,,,,,,,,,,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,.,.,,.,.,E,,,,,,,E,,,,,,,,,,G,,,,,,,G,,,,G,,,-,,,,-,,,G,,,,-,,,G,,,,-,,,G,,,,,,,G,,,,,,,G,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,G,,,,,,,,,,,,,,,,,,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,.,.,,.,.,E,,,,,,,E,,,,,,,,,,G,,,,,,,G,,,,G,,,-,,,,-,,,G,,,,-,,,G,,,,-,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,,,,,,,,,,,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,.,.,,.,.,E,,,,,,,E,,,,,,,,,,G,,,,,,,G,,,,G,,,-,,,,-,,,G,,,,-,,,G,,,,-,,,G,,,,,,,G,,,,,,,G,,,,,,,W/O,,,,,,,W/O,,,,,,,W/O,,,,,,,W/O,,,,,,,,,,,,,,,,,,,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,.,.,,.,.,E,,,,,,,E,,,,,,,,,,W/R,,,,,,,E,,,,E,,,W/R,,,,-,,,E,,,,-,,,W/R,,,,-,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,W/R,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,.,.,,.,.,E,,,,,,,E,,,,,,,,,,G,,,,,,,G,,,,G,,,-,,,,-,,,G,,,,-,,,G,,,,-,,,G,,,,,,,G,,,,,,,G,,,,,,,W/R,,,,,,,E,,,,,,,G,,,,,,,G,,,,,,,,,,,,,,,,,,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,.,.,,.,.,I,,,,,,,E,,,,,,,,,,G,,,,,,,G,,,,G,,,-,,,,-,,,E,,,,-,,,E,,,,-,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,.,.,,.,.,E,,,,,,,E,,,,,,,,,,G,,,,,,,G,,,,G,,,-,,,,-,,,G,,,,-,,,G,,,,-,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,,,,,,,,,,,,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incubation Period: 12days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incubation Period: 12days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nestling Period: 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nestling Period: 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
