Nestbox,"PAIRS, first round",,,"PAIRS, second round",,,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,W,R,F,S,Su,M,T,W,R,F,S,Su,M,T,W,R,F,S,Su,M,T,W,R,F,S,Su,M,T,W,R,F,S,Su,M,T,W,R,F,S,Su,M,T,W,R,F,S,Su,M,T,W,R,F,S,Su,M,T,W,R,F,S,Su,M,T,W,R,F,S,Su,M,T,W,R,F,S,Su,M,T,W,R,F,S,Su,M,T,W,R,F,S,Su,M,T,W,R,F,S,Su,M,T,W,R,F,S,Su,M,T,W,R,F,S,Su,M,T,W,R,F
52,.,.,.,.,.,,W/R,,,,,,,W/R,,,,,,,L,,,,,,,,,,,(6),,,(6),,(6),,(6),(6),,(6),,,,6,,,,,,"parent in box, did not disturb",.,,,,,,,-,"6, RFID and processing done late, so may pop immediately.",.,,,,,-,,,,,OLD,,OLD,,,,,,W/R,,,,,,,E,,,,,,,E,,,,,,,G,,,,,,,G,,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,.,.,.,.,.,,(1 cold),,,,,,,C,,,,,,,L,,,,,,,,,,,(5),,,,,(6),,(6),(6),,(6),,,,(6),,,5,,,5(1),,,,,,,,5(1),5(1),,,,,,-,,,,,OLD,,OLD,,,,,,C,,,,,,,OLD,,,,,,,E,,,,,,,old,,,,,,,G,,,,,,,,OLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,.,.,.,.,.,,E,,,,,,,E,,,,,,,E,,,,,,,,,,E,,,,E,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,,,,,,,,E,,,,,,,C,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,.,.,.,.,.,,W/R,,,,,,,W/R,,,,,,,W/R,,,,,,,,,,W/R,,,,E,,,W/R,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,W/R,,,,,,,W/R,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,W,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,.,.,.,.,.,,W/R,,,,,,,W/R,,,,,,,W/R,,,,,,,,,,W/R,,,,E,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,W/R,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,W/O,,,,,,,W/O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,.,.,.,.,.,,E,,,,,,,E,,,,,,,W/R,,,,,,,,,,E,,,,E,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,W/R,,,,,,,W/R,,,,,,,E,,,,,,,G,,,,,,,W/O,,,,,,,W/O,,,,,,,W ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,.,.,.,.,.,,E,,,,,,,E,,,,,,,E,,,,,,,,,,(1),,,,(5),,,C (parent did not move),,,,,,,(6),,,,,,,6,,,,,,,6,,,,,,,-,,,,,U,,OLD,,,,,,,C,,,,,,,OLD?,,,,,,,OLD,,,,,,,old,,,,,,,C,,,,,,,OLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,.,.,.,.,.,,E,,,,,,,E,,,,,,,E,,,,,,,,,,E,,,,E,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,W/R,,,,,,,E,,,,,,,W/R,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,.,.,.,.,.,,W/R,,,,,,,W/R,,,,,,,W/R,,,,,,,,,,W/R,E,,,W/R,,,,X/R,,,,,,W/R,E,,,,,,W/R,,,,,,,,W/R,,,,,,E,,,,,,,,W/R,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,W,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,.,.,.,.,.,,E,,,,,,,G,,,,,,,-,,,,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,-,,,,,,,E,,,,,,,OLD,,,,,,,(4),,,,,,,?/O,,,,,,,(2)3,,,,,,,(1)4,,,,,,,4,,,,,,,C,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,.,.,.,.,.,,E,,,,,,,G,,,,,,,-,,,,,,,,,,C,,,,,,,(6),,,,,,,(7),,,,,,,(7),,,,,,,7,,,,,,,5(1),,,,,,,L,,,,,,,?/O,,,,,,,L,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,.,.,.,.,.,,E,,,,,,,E,,,,,,,-,,,,,,,,,,C,,,,,,,(6),,,,,,,parent on nest,,(6),,,,,(1)5,,,,,,,6,,,,,,,parent on nest,.,,,,,,(1) ,,,,,,,?/O,,,,,,,U,,,,,,,(4),,,,,,,(4),,,,,,(4),(4),,,,,,,(4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,.,.,.,.,.,,E,,,,,,,E,,,,,,,-,,,,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,C (?) covered with hair and not counted,.,,,,,,?/O,,,,,,,(6),,,,,,,6,,,,,,,6,,,,,,,OLD,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,.,.,.,.,.,,E,,,,,,,E,,,,,,,-,,,,,,,,,,C,,,,,,,U,,,,,,,C,,,,,,,U,,,,,,,L,,,,,,,OLD,,,,,,,W/R,,,,,,,?/O,,,,,,,W/R,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,.,.,.,.,.,,E,,,,,,,L,,,,,,,-,,,,,,,,,,(6),,,,,,,(6),,,,,,,6,,6,,,,,6,,,,,,,3 (3 flew),.,,,,,,E,,,,,,,C,,,,,,,?/O,,,,,,,C,,,,,,,(1),,,,,,,(1),,,,,,,C,,,,,,,(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,.,.,.,.,.,,(5 cold),,,,,,,E,,,,,,,W/R,,,,,,,,,,W/R?,,,,,,,E,,,,,,,E,,,,,,,W/R,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,.,.,.,.,.,,E,,,,,,,E,,,,,,,-,,,,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,.,.,.,.,.,,E,,,,,,,E,,,,,,,-,,,,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,I,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,.,.,.,.,.,,E,,,,,,,E,,,,,,,-,,,,,,,,,,E,,,,,,,I,,,,,,,I,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,U,,,,,,,U,,,,,,,U,,,,,,,U,,,,,,,U,,,,,,,U,,,,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,.,.,.,.,.,,E,,,,,,,E,,,,,,,-,,,,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,.,.,.,.,.,,E,,,,,,,E,,,,,,,-,,,,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,.,.,.,.,.,,E,,,,,,,I,,,,,,,-,,,,,,,,,,C,,,,,,,(4),,,,,,,(7),,,,,,,(7),,,,,,,6,,,,,,,6,,,,,,,U,,,,,,,L,,,,,,,L,,,,,,,L,,,,,,,L,,,,,,,L,,,,,,,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,.,.,.,.,.,,E,,,,,,,G,,,,,,,-,,,,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,G,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,.,.,.,.,.,,E,,,,,,,E,,,,,,,-,,,,,,,,,,C,,,,,,,(4),,,,,,,(5),,,,,,,(4)cold,.,,,,,,(4),,,,,,,(4),,,,,,,(4)cold,,,,,,,?/R,,,,,,,W/R,,,,,,,C,,,,,,,C,,,,,,,C,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,.,.,.,.,.,,E,,,,,,,E,,,,,,,-,,,,,,,,,,E,,,,,,,(3) W?,,,,,,,W/O,,,,,,,W/O,,,,,,,W/O,,,,,,,W/O,,,,,,,W/O,,,,,,,W/R ,,,,,,,E,,,,,,,E,,,,,,,G,,,,,,,E,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,.,.,.,.,.,,E,,,,,,,E,,,,,,,-,,,,,,,,,,W/R?,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,R/O???,,,,,,,W/O,,,,,,,W/O,,,,,,,W/O,,,,,,,W/O,,,,,,,W/O,,,,,,,W/O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,.,.,.,.,.,,E,,,,,,,E,,,,,,,-,,,,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,W/R,,,,,,,W/O,,,,,,,W/O,,,,,,,W/O,,,,,,,W/O,,,,,,,W/O,,,,,,,W/O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,.,.,.,.,.,,E,,,,,,,G,,,,,,,-,,,,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,G,,,,,,,G,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,.,.,.,.,.,,E,,,,,,,E,,,,,,,-,,,,,,,,,,I/L,,,,,,,C,,,,,,,C,,,,,,,(6),,,,,,,(6),,,,,,,(1)5,,,,,,,(1)5P,,,,,,,-/O,,,,,,,C,,,,,,,C,,,,,,,C,,,,,,,C,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,.,.,.,.,.,,E,,,,,,,E,,,,,,,W/R,,,,,,,,,,(1),,,,,,,(7),,,,,,,(6),,,,,,,(1)4,,,,,,,W/O,,,,,,,W/O,,,,,,,C,,,,,,,W/R,,,,,,,E,,,,,,,G,,,,,,,E,,,,,,,G,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,.,.,.,.,.,,E,,,,,,,E,,,,,,,E,,,,,,,,,,E,,,,,,,I,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,.,.,.,.,.,,W/R,,,,,,,W/R,,,,,,,L,,,,,,,,,,C,,,,,,,(6),,,,,,,(6),,(7),,,,,(5)+2 dead nestlings,.,,,,,,(2)cold and more broken,.,,,,,,(1)cold; others broken?,,,,,,,C (old egg shells),,,,,,,C,,,,,,,C,,,,,,,C,,,,,,,C,,,,,,,C,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,.,.,.,.,.,,W/R,,,,,,,E,,,,,,,E,,,,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,W/R,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,.,.,.,.,.,,E,,,,,,,W/R,,,,,,,C,,,,,,,,,,(3),,,,,,,(6),,,,,,,(6),,,,,,,(2),,,,,,,W/O,,,,,,,(1)mixed nest material,.,,,,,,W/O,,,,,,,W/O,,,,,,,W/O,,,,,,,W/O,,,,,,,W/O,,,,,,,W/O,,,,,,,W/O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,.,.,.,.,.,,E,,,,,,,E,,,,,,,E,,,,,,,,,,E,,,,,,,W/R,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,W/R,,,,,,,W/R,,,,,,,W/R,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,.,.,.,.,.,,E,,,,,,,E,,,,,,,E,,,,,,,,,,E,,,,,,,W/R,,,,,,,W/R,,,,,,,W/O,,,,,,,W/O,,,,,,,W/O,,,,,,,W/O,,,,,,,W/O,,,,,,,W/O,,,,,,,W/O,,,,,,,W/O,,,,,,,W/O,,,,,,,W/O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,.,.,.,.,.,,E,,,,,,,E,,,,,,,I,,,,,,,,,,(4),,,,,,,(6),,,,,,,? on nest,,,,,,,6,,,,,,,6,,,,,,,OLD,,,,,,,C,,,,,,,C,,,,,,,W/R,,,,,,,C,,,,,,,C,,,,,,,C,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,.,.,.,.,.,,E,,,,,,,E,,,,,,,W/R,,,,,,,,,,E,,,,,,,W/R,,,,,,,W/R,,,,,,,W/R,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,W/R,,,,,,,W/O,,,,,,,W/O,,,,,,,W/O,,,,,,,W/O,,,,,,,W/O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
