,Year,Data Needed (see orange cell),Blood in Hand (ref. priority extraction sheet for location of sample) ,,Metal  # (highlighted yellow if missing data on this bird),Color Combo,Sex,Date,"Status (New,Previous year, It's Alive!!)",Location: Feeder/MistNet/NB,"Age (ASY,AHY,HY(Juv),Nestling)","Color crest (3blk,2drk grey,1light grey)","Color proximal lower mandible (3blk,2drk grey,1light grey)",Blood Taken,Feathers Taken,Mass (g),Tarsus (mm),Wing (mm),RFID #,Tarsus/wing  collected by,IA nestbox of origin,Notes,Other Notes,Recapture date,Recapture location,
,2019,,Yes,,244102065,YYB,,04/22/19,,NB52,Nestling,,,Yes,,17.2,not taken,,011016BF3D,,,Bled a lot,,,,
,2019,,Yes,,244102067,YYO,,04/22/19,,NB52,Nestling,,,Yes,,17.1,not taken,,011016DEE3,,,,,,,
,2019,,Yes,,244102071,YBS,,04/23/19,,NB8,Adult (second year),,,Yes,,-,-,,01103F8004,,,Picture taken of lower beak,,,,
,2019,,Yes,,244102075,YTG,,04/23/19,,NB13,Adult (second year),,,Yes,,-,-,,01103F5BBC,,,Only 5 nestlings in nest during this check,,,,
,2019,,Yes,,244102077,SPP,,05/04/19,,NB14,Nestling,,,Yes,,15.8,not taken,,011016E05D,,,Weighed with RFID tag; bled a lot,,,,
,2019,,Yes,,244102074,SSB,,05/04/19,,NB14,Nestling,,,Yes,,15.3,not taken,,011016C1AC,,,Weighed with RFID tag,,,,
,2019,,Yes,,244102072,STT,,05/04/19,,NB14,Nestling,,,Yes,,12.8,not taken,,011016F8C3,,,"Original weight 14.8 g, weighed without taring scale",,,,
,2019,,*,,258115491,YOY,,05/07/19,,NB14,Adult (second year),,,No*,,-,-,,011016CDA2,,,"Parent escaped before blood was taken, but was previously caught and banded by the pond last year and blood was taken at that time (nicknamed Perseus) ",,,,
,2019,,Yes,,244102017,SPB,,05/08/19,,NB21,Adult (second year),,,Yes,,-,-,,011016AB29,,,"Female; caught on day nestlings hatched-->watch for desertion; brood patch;  *notes are unclear as to what the actual band number is, all it says is 2017","Recaught on 2/1/21 at F4, metal band number was verified and blood sample was taken",,,
,2019,,Yes,,244102083,SPL,,06/14/19,,NB13,Nestling,,,Yes,,16.5*,not taken,,01103FBCA2,,,Blood taken from right wing,,,,
